Event No.; Task; Date; Account Name; Account Domain; Logon ID; Logon Type; Workstation Name; Logon Address; Logon Process
6267;Logon;2017-03-28T03:07:04.031;aduser02;OHMYAD;0x46f37f;Network;;192.168.20.150;Kerberos
6269;Logoff;2017-03-28T03:07:04.031;aduser02;OHMYAD;0x46f37f;Network;;;
6270;Logoff;2017-03-28T03:07:04.546;aduser02;OHMYAD;0x46f36f;Network;;;
6271;Logoff;2017-03-28T03:07:33.328;aduser01;OHMYAD;0x46f325;Network;;;
6284;Logon;2017-03-28T03:08:41.141;Administrator;OHMYAD;0x470c31;Network;WIN-KMLLOT8IEP7;192.168.20.150;NtLmSsp
6287;Logon;2017-03-28T03:09:24.681;Administrator;OHMYAD;0x47155a;Network;;192.168.20.151;Kerberos
6290;Logon;2017-03-28T03:09:49.812;ANONYMOUS LOGON;NT AUTHORITY;0x471da1;Network;HELLO-PC;192.168.20.151;NtLmSsp
6294;Logoff;2017-03-28T03:09:59.547;Administrator;OHMYAD;0x47155a;Network;;;
6295;Logoff;2017-03-28T03:10:02.089;ANONYMOUS LOGON;NT AUTHORITY;0x471da1;Network;;;
6306;Logoff;2017-03-28T03:11:08.312;aduser02;OHMYAD;0x46f358;Network;;;
6362;Logon;2017-03-28T03:20:53.593;Administrator;OHMYAD;0x47be46;Network;WIN-KMLLOT8IEP7;192.168.20.150;NtLmSsp
6371;Logon;2017-03-28T03:21:49.972;ANONYMOUS LOGON;NT AUTHORITY;0x47cb6f;Network;HELLO-PC;192.168.20.151;NtLmSsp
6376;Logoff;2017-03-28T03:22:02.093;ANONYMOUS LOGON;NT AUTHORITY;0x47cb6f;Network;;;
6389;Logoff;2017-03-28T03:23:49.172;Administrator;OHMYAD;0x470c31;Network;;;
6416;Logon;2017-03-28T03:28:27.695;Administrator;OHMYAD;0x482b53;Network;;192.168.20.150;Kerberos
6427;Logoff;2017-03-28T03:31:01.090;Administrator;OHMYAD;0x482b53;Network;;;
6440;Logon;2017-03-28T03:33:50.100;ANONYMOUS LOGON;NT AUTHORITY;0x487906;Network;HELLO-PC;192.168.20.151;NtLmSsp
6441;Logon;2017-03-28T03:33:50.116;ANONYMOUS LOGON;NT AUTHORITY;0x487913;Network;HELLO-PC;192.168.20.151;NtLmSsp
6445;Logoff;2017-03-28T03:34:02.097;ANONYMOUS LOGON;NT AUTHORITY;0x487906;Network;;;
6478;Logon;2017-03-28T03:40:04.657;aduser02;OHMYAD;0x48d44f;Network;;192.168.20.150;Kerberos
6487;Logoff;2017-03-28T03:41:36.806;aduser02;OHMYAD;0x48d44f;Network;;;
6508;Logon;2017-03-28T03:45:50.229;ANONYMOUS LOGON;NT AUTHORITY;0x492af8;Network;HELLO-PC;192.168.20.151;NtLmSsp
6513;Logoff;2017-03-28T03:46:02.100;ANONYMOUS LOGON;NT AUTHORITY;0x492af8;Network;;;
6572;Logon;2017-03-28T03:57:50.357;ANONYMOUS LOGON;NT AUTHORITY;0x49d85a;Network;HELLO-PC;192.168.20.151;NtLmSsp
6577;Logoff;2017-03-28T03:58:02.088;ANONYMOUS LOGON;NT AUTHORITY;0x49d85a;Network;;;
6644;Logon;2017-03-28T04:09:50.486;ANONYMOUS LOGON;NT AUTHORITY;0x4a87e1;Network;HELLO-PC;192.168.20.151;NtLmSsp
6649;Logoff;2017-03-28T04:10:02.092;ANONYMOUS LOGON;NT AUTHORITY;0x4a87e1;Network;;;
6704;Logon;2017-03-28T04:18:50.527;aduser01;OHMYAD;0x4b0b47;Network;;192.168.20.151;Kerberos
6705;Logon;2017-03-28T04:18:50.949;aduser01;OHMYAD;0x4b0b5d;Network;;192.168.20.151;Kerberos
6706;Logon;2017-03-28T04:18:51.058;aduser01;OHMYAD;0x4b0b6d;Network;;192.168.20.151;Kerberos
6708;Logoff;2017-03-28T04:18:51.073;aduser01;OHMYAD;0x4b0b6d;Network;;;
6709;Logoff;2017-03-28T04:18:51.588;aduser01;OHMYAD;0x4b0b5d;Network;;;
6712;Logoff;2017-03-28T04:19:25.425;aduser01;OHMYAD;0x4b0b47;Network;;;
6724;Logon;2017-03-28T04:21:50.630;ANONYMOUS LOGON;NT AUTHORITY;0x4b388e;Network;HELLO-PC;192.168.20.151;NtLmSsp
6729;Logoff;2017-03-28T04:22:02.096;ANONYMOUS LOGON;NT AUTHORITY;0x4b388e;Network;;;
6790;Logon;2017-03-28T04:33:50.758;ANONYMOUS LOGON;NT AUTHORITY;0x4be53b;Network;HELLO-PC;192.168.20.151;NtLmSsp
6795;Logoff;2017-03-28T04:34:02.099;ANONYMOUS LOGON;NT AUTHORITY;0x4be53b;Network;;;
6837;Logon;2017-03-28T04:39:04.568;aduser02;OHMYAD;0x4c397b;Network;;192.168.20.150;Kerberos
6838;Logon;2017-03-28T04:39:05.083;aduser02;OHMYAD;0x4c3991;Network;;192.168.20.150;Kerberos
6839;Logon;2017-03-28T04:39:05.302;aduser02;OHMYAD;0x4c39a1;Network;;192.168.20.150;Kerberos
6841;Logoff;2017-03-28T04:39:05.302;aduser02;OHMYAD;0x4c39a1;Network;;;
6842;Logoff;2017-03-28T04:39:05.816;aduser02;OHMYAD;0x4c3991;Network;;;
6857;Logoff;2017-03-28T04:40:36.109;aduser02;OHMYAD;0x4c397b;Network;;;
12806;Logon;2017-03-29T01:36:38.953;ANONYMOUS LOGON;NT AUTHORITY;0x944784;Network;HELLO-PC;192.168.20.151;NtLmSsp
12810;Logoff;2017-03-29T01:36:50.169;ANONYMOUS LOGON;NT AUTHORITY;0x944784;Network;;;
12826;Logon;2017-03-29T01:38:41.397;aduser01;OHMYAD;0x9468b6;Network;;192.168.20.151;Kerberos
12829;Logoff;2017-03-29T01:39:16.357;aduser01;OHMYAD;0x9468b6;Network;;;
12830;Logon;2017-03-29T01:39:26.544;aduser01;OHMYAD;0x947144;Network;;192.168.20.151;Kerberos
